section_index,rule_id,error_token,rule
12.2,Proto-Circassian-pˤː-pˤ-bˤ,:,"{p:[-atr,+rtr],p:[-atr,+rtr]:[+long]} p:[-atr,+rtr] b:[-atr,+rtr] > {p,p:[+long]} p:[+cg] b | ^ @ Rule 1, Line 1"
12.2,"Proto-Circassian-qˤː,qˤʼ-χˤ-ʁˤ",:,"{q:[-atr,+rtr]:[+long],qʼ:[-atr,+rtr]} χ:[-atr,+rtr] ʁ:[-atr,+rtr] > q:[+long] χ ʁ | ^ @ Rule 1, Line 1"
12.2,"Proto-Circassian-qˤʲ,χˤʲ-qˤʲ-ʁˤʲ-qˤʲː-qˤʲʼ",:,"{qʲ:[-atr,+rtr],χʲ:[-atr,+rtr]} qʲ:[-atr,+rtr] ʁʲ:[-atr,+rtr] {qʲ:[-atr,+rtr]:[+long] qʲʼ:[-atr,+rtr]} > ħ ʔ j | ^ @ Rule 1, Line 1"
12.2,"Proto-Circassian-qˤʷː,qˤʷʼ-χˤʷ-ʁˤʷ",:,"{qʷ:[-atr,+rtr]:[+long],qʷʼ:[-atr,+rtr]} χʷ:[-atr,+rtr] ʁʷ:[-atr,+rtr] > qʷ:[+long] χʷ ʁʷ | ^ @ Rule 1, Line 1"
12.2,"Proto-Circassian-qˤʲʷ-qˤʲʷː,qˤʲʷ-ʁˤʲʷ",:,"qʲʷ:[-atr,+rtr] {qʲʷ:[-atr,+rtr]:[+long],qʲʷ:[-atr,+rtr]} ʁʲʷ:[-atr,+rtr] > ħ ʔʷ {w,ʁʷ} | ^ @ Rule 1, Line 1"
12.3,"Ubykh-qˤʲʷ-qˤʲʷː,qˤʲʷ-ʁˤʲʷ",:,"qʲʷ:[-atr,+rtr] {qʲʷ:[-atr,+rtr]:[+long],qʲʷ:[-atr,+rtr]} ʁʲʷ:[-atr,+rtr] > χʷ qʷ:[+cg] w | ^ @ Rule 1, Line 1"
15.2.2,"Greenlandic-Iñupiaq-m-n-ŋ-t-ɣ,ʁ«",{,"m n ŋ t {{ɣ,ʁ} > {k,q}} / _# | ^ @ Rule 1, Line 1"
17.4.1,Avestan_2-kʷ-ɡʷʱ,(,"{k,kʷ} {ɡ(ʱ),ɡʷ(ʱ)} > tʃ dʒ / _V:[+front] | ^ @ Rule 1, Line 1"
17.4.1,Avestan_2-k-kʷ-ɡʷʱ,(,"k kʷ {ɡ(ʱ),ɡʷ(ʱ)} > x k ɡ // _V:[+front] | ^ @ Rule 1, Line 1"
17.5.1,Old-Irish-—-o,(,"o > a / _{(C,0),u}# | ^ @ Rule 1, Line 1"
17.7.2.1.6,Australian-English-æ_2,//,"æ > æ:[+long] / _{n,m,ɡ,ɫ$ // _n,m,ɡ,ɫ}${j,w} or a form of a strong verb | ^^ @ Rule 1, Line 1"
17.7.3.1.1,"Early-Icelandic-n̥n,nn̥",>,"{n̥n,nn̥ > tn̥ / V_ | ^ @ Rule 1, Line 1"
17.7.3.1.1,"Early-Icelandic-r̥n,r̥n̥,rn̥",>,"{r̥n,r̥n̥,rn̥ > tn̥ | ^ @ Rule 1, Line 1"
17.7.3.1.1,"Early-Icelandic-ɬl,ɬː",>,"{ɬl,ɬ:[+long] > tɬ | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-∅_3,_,"∅ > d / {n,l,ɲ,z_r | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-j_3,_,"j > ∅ / s_ (s:[+long]_?) | ^ @ Rule 1, Line 1"
17.12.1.1.4,"Italian-skj,stj,sːj",>,"{skj,stj,s:[+long]j > ʃ | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-—-e_2,(,"e > i / _(C,0)i{C(C,0)V,#} | ^ @ Rule 1, Line 1"
17.12.1.1.6,Old-Provençal-sj,(,"ʒ > {i(d)ʒ,(d)ʒ} | ^ @ Rule 1, Line 2"
17.12.1.1.6,Old-Provençal-stʃ_2,(,"stʃ > {i(t)ʃ,(t)ʃ} | ^ @ Rule 1, Line 1"
17.12.1.1.8,Romanian-kj-ɡj,∅,"tʃ {j,∅} (ɡj > is rare) | ^ @ Rule 1, Line 2"
17.13,Proto-Tocharian-Dʱ,ʱ,"{P:[+voice],Pʱ:[+voice]} > P:[-voice] | ^ @ Rule 1, Line 1"
22.6,"Sorowahá-tʰ,ɗ",>,"{tʰ,ɗ > t | ^ @ Rule 1, Line 1"
31.1,Bardi-V0,(,"V=0 > ∅ / {V(C)0,VC(C)0} {C(C)_#,(C)_#} | ^ @ Rule 1, Line 1"
32.1.1,Papabuco-Chatino-h,…,"h > d / _a (…lolwut) | ^ @ Rule 1, Line 1"
32.1.1,Papabuco-Chatino-h_2,…,"h > t // _a (…lolwut) | ^ @ Rule 1, Line 1"
32.1.2,Tataltepec-Chatino-t,…,"t > tʲ / _õ (…again…lolwut) | ^ @ Rule 1, Line 1"
35.1.9,Saanich-Northern-Straits-a3,ʷ,"a:[tone: 55] > e:[tone: 55] // {C[-fr,+bk,-hi,-lo]ʷ,C:[-front,+back,+hi,-lo,+round],w}_,_{Cu,C[-fr,+bk,-hi,-lo]ʷ,w} | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-i,ʷ,"i > ∅ / {C,Cʷ}_a | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-ia,ʷ,"ia > e // {C,Cʷ}_a | ^ @ Rule 1, Line 1"
36.2,Guānhuà-uj_3,∅,"uj > uɛi / {C:[+labial],C[+laryngeal],∅}_ | ^ @ Rule 1, Line 1"
36.2,Guānhuà-juŋ,∅,"juŋ > iuŋ / _{∅,x,ʋ,ʔ} | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_3,∅,"yʔ > yʔ / {∅,C[+laryngeal]}, in -juət-types | ^ @ Rule 1, Line 1"
36.2,Guānhuà-yʔ_3,∅,"yʔ > yɛʔ? / {∅,C[+laryngeal]}, in -juət-types | ^ @ Rule 1, Line 1"
37.1.1,Cherokee-aːwẽː,{,"{awẽ,awẽ:[+long],a:[+long]{wẽ,wẽ:[+long]}} > {ama,ama:[+long],a:[+long]{ma,ma:[+long]}} | ^ @ Rule 1, Line 1"
37.2.5,Proto-Crow-Hidatsa-Lʲ,ʲ,"{L,Lʲ} > r | ^ @ Rule 1, Line 1"
37.2.6.1,Kansa-r-Lʲ,ʲ,"r {L,Lʲ} > d j / #_ | ^ @ Rule 1, Line 1"
38.1.1.4.2,Po-Ai-ua~u@̯,@,"{ua,u@̯} > u:[+long] | ^ @ Rule 1, Line 1"
